Match Number,Team Number,Auton Reach or Traverse (R or T),Auton High Goals,Auton Low Goals,Defense/Offense/Spy,Pick up,High Goals,Low Goals, SP,DB,RT,R,LB,M,P,RW,CF,Challenge,Scale
1,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,
